ciiu,actividad,cou,prefijo,nota
421000,421000 - Construcción de carreteras y líneas de ferrocarril,72,42,obras de ingenieria civil
422000,422000 - Construcción de proyectos de servicio público,72,42,obras de ingenieria civil
429000,429000 - Construcción de otras obras de ingeniería civil,72,42,obras de ingenieria civil
431100,431100 - Demolición,73,43,actividades especializadas de construccion
431200,431200 - Preparación del terreno,73,43,actividades especializadas de construccion
432100,432100 - Instalaciones eléctricas,73,43,actividades especializadas de construccion
432200,"432200 - Instalaciones de gasfitería, calefacción y aire acondicionado",73,43,actividades especializadas de construccion
432900,432900 - Otras instalaciones para obras de construcción,73,43,actividades especializadas de construccion
433000,433000 - Terminación y acabado de edificios,73,43,actividades especializadas de construccion
439000,439000 - Otras actividades especializadas de construcción,73,43,actividades especializadas de construccion
451001,451001 - Venta al por mayor de vehículos automotores,74,45,comercio automotriz
451002,451002 - Venta al por menor de vehículos automotores nuevos o usados (incluye compraventa),74,45,comercio automotriz
452001,452001 - Servicio de lavado de vehículos automotores,74,45,comercio automotriz
452002,452002 - Mantenimiento y reparación de vehículos automotores,74,45,comercio automotriz
453000,"453000 - Venta de partes, piezas y accesorios para vehículos automotores",74,45,comercio automotriz
454001,454001 - Venta de motocicletas,74,45,comercio automotriz
454002,"454002 - Venta de partes, piezas y accesorios de motocicletas",74,45,comercio automotriz
454003,454003 - Mantenimiento y reparación de motocicletas,74,45,comercio automotriz
461001,461001 - Corretaje al por mayor de productos agrícolas,75,46,comercio mayorista
461002,461002 - Corretaje al por mayor de ganado,75,46,comercio mayorista
461009,461009 - Otros tipos de corretajes o remates al por mayor n.c.p.,75,46,comercio mayorista
462010,462010 - Venta al por mayor de materias primas agrícolas,75,46,comercio mayorista
462020,462020 - Venta al por mayor de animales vivos,75,46,comercio mayorista
462090,462090 - Venta al por mayor de otras materias primas agropecuarias n.c.p.,75,46,comercio mayorista
463011,463011 - Venta al por mayor de frutas y verduras,75,46,comercio mayorista
463012,463012 - Venta al por mayor de carne y productos cárnicos,75,46,comercio mayorista
